name,state,office,party,incumbent,campaign_website,profile_url
Sidney Moore,Illinois,U.S. House Illinois District 2,Democratic,False,,https://ballotpedia.org/Sidney_Moore_(Illinois_congressional_candidate)
Patrick Keating,Illinois,U.S. House Illinois District 2,Democratic,False,,https://ballotpedia.org/Patrick_Keating
Bryan Slepicka,Illinois,U.S. House Illinois District 2,Democratic,False,,https://ballotpedia.org/Bryan_Slepicka
Robert Peters,Illinois,U.S. House Illinois District 2,Democratic,False,,https://ballotpedia.org/Robert_Peters_(Illinois)
Willie Preston,Illinois,U.S. House Illinois District 2,Democratic,False,,https://ballotpedia.org/Willie_Preston
Donna Miller,Illinois,U.S. House Illinois District 2,Democratic,False,,https://ballotpedia.org/Donna_Miller_(Illinois)
"Jesse L. Jackson, Jr.",Illinois,U.S. House Illinois District 2,Democratic,False,,"https://ballotpedia.org/Jesse_L._Jackson,_Jr."
Robin Kelly,Illinois,U.S. House Illinois District 2,Democratic,False,,https://ballotpedia.org/Robin_Kelly
Angel Oakley,Illinois,U.S. House Illinois District 3,Republican,False,,https://ballotpedia.org/Angel_Oakley
Delia Ramirez,Illinois,U.S. House Illinois District 3,Democratic,False,,https://ballotpedia.org/Delia_Ramirez
Spomenka Vajic,Illinois,U.S. House Illinois District 3,Republican,False,,https://ballotpedia.org/Spomenka_Vajic
Lupe Castillo,Illinois,U.S. House Illinois District 4,Republican,False,,https://ballotpedia.org/Lupe_Castillo
Ashley Ramos,Illinois,U.S. House Illinois District 2,Republican,False,,https://ballotpedia.org/Ashley_Ramos
Kip Knutson,Illinois,U.S. House Illinois District 3,Democratic,False,,https://ballotpedia.org/Kip_Knutson
Anthony Stebbins,Florida,U.S. House Florida District 3,Libertarian,False,,https://ballotpedia.org/Anthony_Stebbins
Jeremy Young,Illinois,U.S. House Illinois District 2,Democratic,False,,https://ballotpedia.org/Jeremy_Young
Calvin Coleman,Illinois,U.S. House Illinois District 2,Republican,False,,https://ballotpedia.org/Calvin_Coleman
Patty Garcia,Illinois,U.S. House Illinois District 4,Democratic,False,,https://ballotpedia.org/Patty_Garcia
Mark Pasieka Sr.,Illinois,U.S. House Illinois District 3,Democratic,False,,https://ballotpedia.org/Mark_Pasieka_Sr._(Illinois_congressional_candidate)
Tom Wells,Florida,U.S. House Florida District 3,Democratic,False,,https://ballotpedia.org/Tom_Wells
Tom Hanson,Illinois,U.S. House Illinois District 5,Republican,False,,https://ballotpedia.org/Tom_Hanson
Barry Wicker,Illinois,U.S. House Illinois District 5,Republican,False,,https://ballotpedia.org/Barry_Wicker
Jesus Garcia,Illinois,U.S. House Illinois District 4,Democratic,False,,https://ballotpedia.org/Jesus_Garcia
Mike Quigley,Illinois,U.S. House Illinois District 5,Democratic,False,,https://ballotpedia.org/Mike_Quigley
Ed Hershey,Illinois,U.S. House Illinois District 4,Working Class Party,False,,https://ballotpedia.org/Ed_Hershey
Anthony Michael Tamez,Illinois,U.S. House Illinois District 5,Democratic,False,,https://ballotpedia.org/Anthony_Michael_Tamez
Matthew Conroy,Illinois,U.S. House Illinois District 5,Democratic,False,,https://ballotpedia.org/Matthew_Conroy
Sean Casten,Illinois,U.S. House Illinois District 6,Democratic,False,,https://ballotpedia.org/Sean_Casten
Jonathan Bishop,Illinois,U.S. House Illinois District 5,Democratic,False,,https://ballotpedia.org/Jonathan_Bishop
Ellen Corley,Illinois,U.S. House Illinois District 5,Democratic,False,,https://ballotpedia.org/Ellen_Corley
Kimball Ladien,Illinois,U.S. House Illinois District 5,Republican,False,,https://ballotpedia.org/Kimball_Ladien
Patricia Easley,Illinois,U.S. House Illinois District 7,Republican,False,,https://ballotpedia.org/Patricia_Easley
Skylar Duensing,Illinois,U.S. House Illinois District 6,Republican,False,,https://ballotpedia.org/Skylar_Duensing
